                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1879,                 2.6931,                 1.5926,                0.74665,                0.21048,                0.21943,                0.15197,                  1.349,                 1.8129,                 1.8397,              0.0033287,              0.0033287,              0.0033287
                      2,                 1.0836,                 1.7333,                 1.4881,                0.60782,                 0.1614,                0.16139,                0.09591,                 1.5846,                  2.006,                 1.9158,              0.0065961,              0.0065961,              0.0065961
                      3,                  1.145,                 1.7952,                  1.548,                0.63563,                0.11797,                0.11551,                0.06608,                 1.6771,                  2.538,                 2.2601,              0.0097974,              0.0097974,              0.0097974
                      4,                 1.1728,                 1.8728,                 1.5799,                0.65529,                0.17284,                0.19134,                0.12745,                 1.5198,                 2.0218,                 2.0388,               0.009703,               0.009703,               0.009703
                      5,                 1.1405,                 1.7642,                 1.5534,                0.65865,                0.17005,                0.20858,                0.13614,                 1.5134,                 2.1512,                 2.0128,               0.009703,               0.009703,               0.009703
                      6,                 1.1119,                 1.7021,                 1.5318,                0.61927,                0.22598,                 0.2455,                0.16128,                 1.3813,                 1.5779,                 1.8881,               0.009604,               0.009604,               0.009604
                      7,                 1.0937,                 1.6073,                 1.5109,                 0.6355,                0.23282,                0.24388,                0.16559,                 1.3704,                  1.621,                  1.839,               0.009505,               0.009505,               0.009505
                      8,                 1.0828,                 1.5593,                 1.5014,                0.63904,                 0.2435,                0.26049,                0.17098,                 1.4024,                 1.5387,                 1.8929,               0.009406,               0.009406,               0.009406
                      9,                 1.0509,                 1.4686,                 1.4769,                0.60348,                0.23096,                0.27496,                0.18641,                 1.4052,                 1.4671,                   1.84,               0.009307,               0.009307,               0.009307
                     10,                 1.0454,                 1.4342,                 1.4662,                0.63469,                0.25462,                0.28009,                0.18882,                 1.3933,                 1.4222,                 1.8535,               0.009208,               0.009208,               0.009208
                     11,                 1.0263,                 1.3991,                 1.4567,                0.64876,                 0.2623,                0.28223,                0.19156,                 1.3512,                 1.3387,                 1.8328,               0.009109,               0.009109,               0.009109
                     12,                 1.0203,                 1.3752,                  1.449,                0.67095,                0.25406,                0.30577,                0.20914,                 1.3462,                 1.3352,                 1.7982,                0.00901,                0.00901,                0.00901
                     13,                 1.0059,                 1.3193,                 1.4357,                0.65376,                 0.2227,                0.25843,                0.17835,                 1.3296,                 1.4775,                  1.826,               0.008911,               0.008911,               0.008911
                     14,                 0.9972,                 1.3138,                 1.4335,                0.60511,                0.30547,                0.31074,                0.21698,                 1.2846,                 1.3087,                 1.7443,               0.008812,               0.008812,               0.008812
                     15,                0.99479,                 1.2747,                 1.4208,                0.50898,                0.30942,                0.30662,                0.21285,                 1.2977,                 1.2731,                 1.7364,               0.008713,               0.008713,               0.008713
                     16,                0.99613,                 1.2653,                 1.4264,                0.66528,                0.25743,                 0.3335,                 0.2252,                 1.3507,                 1.2628,                 1.7692,               0.008614,               0.008614,               0.008614
                     17,                0.98273,                 1.2204,                 1.4136,                0.60321,                0.29596,                 0.3438,                0.23907,                    1.3,                  1.258,                 1.7777,               0.008515,               0.008515,               0.008515
                     18,                0.97622,                 1.1802,                 1.4064,                 0.5141,                0.31616,                0.35016,                0.24683,                 1.2644,                  1.176,                 1.7057,               0.008416,               0.008416,               0.008416
                     19,                0.96078,                 1.1642,                 1.3979,                0.57078,                0.29086,                0.31251,                0.21481,                 1.2853,                 1.2648,                 1.7293,               0.008317,               0.008317,               0.008317
                     20,                0.96661,                 1.1549,                 1.3954,                 0.4346,                0.33442,                0.34393,                0.24582,                 1.2916,                 1.1979,                 1.6993,               0.008218,               0.008218,               0.008218
                     21,                0.94631,                 1.1205,                 1.3866,                0.64894,                0.28695,                0.33785,                0.24459,                 1.2695,                 1.1832,                 1.6663,               0.008119,               0.008119,               0.008119
                     22,                 0.9471,                 1.1145,                 1.3841,                0.61386,                0.31028,                0.35437,                0.25347,                 1.2771,                 1.1962,                 1.6803,                0.00802,                0.00802,                0.00802
                     23,                0.94295,                 1.0982,                 1.3769,                0.59311,                0.28564,                0.35577,                0.25545,                 1.2513,                  1.155,                  1.668,               0.007921,               0.007921,               0.007921
                     24,                0.93053,                 1.0659,                 1.3677,                0.53987,                0.35058,                0.34926,                0.24704,                 1.2647,                 1.1453,                 1.6599,               0.007822,               0.007822,               0.007822
                     25,                0.93582,                 1.0535,                  1.366,                0.56482,                0.33796,                0.34816,                0.24602,                 1.2603,                  1.143,                 1.6886,               0.007723,               0.007723,               0.007723
                     26,                0.92869,                 1.0366,                 1.3631,                0.60525,                0.32459,                0.37342,                0.26467,                 1.2772,                 1.1065,                 1.6755,               0.007624,               0.007624,               0.007624
                     27,                0.91346,                   1.01,                 1.3557,                 0.5852,                0.31455,                0.36627,                0.26659,                 1.2599,                 1.0927,                 1.6583,               0.007525,               0.007525,               0.007525
                     28,                0.92011,                 1.0011,                  1.351,                0.39354,                0.39937,                0.38782,                0.28277,                 1.2619,                  1.136,                 1.6746,               0.007426,               0.007426,               0.007426
                     29,                0.91058,                 1.0001,                 1.3498,                0.53173,                0.33195,                0.34668,                0.24688,                 1.2427,                 1.0976,                 1.6598,               0.007327,               0.007327,               0.007327
                     30,                0.90694,                0.97169,                 1.3452,                0.56117,                0.35024,                0.37158,                0.26536,                 1.2609,                   1.15,                 1.6953,               0.007228,               0.007228,               0.007228
                     31,                0.89541,                0.95585,                 1.3402,                0.42431,                0.39236,                0.40224,                0.28782,                  1.246,                 1.1236,                 1.6597,               0.007129,               0.007129,               0.007129
                     32,                0.89167,                0.95125,                 1.3343,                0.53289,                0.33431,                0.35302,                0.25678,                 1.2359,                 1.1368,                 1.6684,                0.00703,                0.00703,                0.00703
                     33,                0.88331,                 0.9273,                 1.3273,                0.63427,                0.32415,                0.36986,                0.25761,                 1.2561,                  1.104,                 1.6825,               0.006931,               0.006931,               0.006931
                     34,                0.88752,                 0.9304,                 1.3323,                0.64647,                0.35622,                0.38716,                0.27381,                 1.2392,                 1.1271,                 1.6396,               0.006832,               0.006832,               0.006832
                     35,                 0.8794,                0.91188,                  1.324,                0.59088,                0.31558,                0.38536,                0.27724,                 1.2598,                 1.1065,                 1.6681,               0.006733,               0.006733,               0.006733
                     36,                0.86205,                0.87574,                 1.3101,                0.61618,                0.31724,                0.36364,                0.27079,                 1.2201,                 1.1462,                 1.6451,               0.006634,               0.006634,               0.006634
                     37,                0.86842,                0.88203,                 1.3089,                0.57109,                0.31231,                0.36853,                0.26581,                 1.2249,                 1.0822,                 1.6494,               0.006535,               0.006535,               0.006535
                     38,                0.86501,                0.87421,                 1.3118,                0.63024,                0.30462,                0.36094,                0.26133,                 1.2307,                 1.0931,                 1.6618,               0.006436,               0.006436,               0.006436
                     39,                0.86213,                0.86093,                 1.3125,                0.60023,                0.34183,                0.39071,                0.27936,                   1.21,                 1.1042,                 1.6221,               0.006337,               0.006337,               0.006337
                     40,                0.85517,                0.84595,                 1.3028,                0.37679,                0.39106,                0.37054,                0.26877,                 1.2424,                  1.126,                 1.6765,               0.006238,               0.006238,               0.006238
                     41,                0.84667,                0.83439,                 1.2967,                0.67358,                0.30187,                0.36964,                0.26965,                 1.2412,                 1.1272,                 1.6515,               0.006139,               0.006139,               0.006139
                     42,                0.85538,                0.82748,                 1.2991,                0.54558,                0.33831,                 0.3628,                0.26595,                 1.2162,                 1.1023,                 1.6295,                0.00604,                0.00604,                0.00604
                     43,                0.84517,                0.81405,                 1.2924,                0.63072,                0.33118,                0.36728,                0.27233,                  1.232,                 1.1271,                 1.6327,               0.005941,               0.005941,               0.005941
                     44,                  0.841,                0.80733,                 1.2886,                 0.5134,                 0.3542,                0.36636,                0.26756,                 1.2408,                  1.129,                 1.6447,               0.005842,               0.005842,               0.005842
                     45,                0.82833,                0.79115,                 1.2822,                0.43643,                0.38166,                0.38958,                0.28122,                 1.2349,                 1.1114,                 1.6474,               0.005743,               0.005743,               0.005743
                     46,                0.83321,                0.79013,                 1.2822,                0.41908,                 0.3756,                0.39274,                0.28134,                  1.221,                 1.1062,                 1.6252,               0.005644,               0.005644,               0.005644
                     47,                0.82089,                0.77184,                 1.2743,                0.35708,                0.40457,                0.39833,                0.29045,                 1.2189,                 1.1078,                 1.6233,               0.005545,               0.005545,               0.005545
                     48,                0.82422,                0.77402,                 1.2713,                0.32829,                0.40514,                0.39925,                0.28998,                 1.2293,                 1.0966,                 1.6343,               0.005446,               0.005446,               0.005446
                     49,                0.81559,                   0.76,                 1.2703,                0.32769,                0.43718,                0.40586,                0.29578,                 1.2228,                 1.0891,                 1.6415,               0.005347,               0.005347,               0.005347
                     50,                0.81171,                0.74561,                 1.2662,                0.35739,                0.41151,                0.39041,                0.28298,                 1.2376,                 1.1368,                 1.6636,               0.005248,               0.005248,               0.005248
                     51,                0.80882,                0.74159,                 1.2651,                0.32774,                0.40448,                0.38582,                0.27752,                 1.2382,                 1.1261,                 1.6575,               0.005149,               0.005149,               0.005149
                     52,                0.80319,                0.73074,                 1.2585,                0.43088,                0.40049,                0.39548,                0.28441,                 1.2537,                 1.1139,                 1.6795,                0.00505,                0.00505,                0.00505
                     53,                0.80024,                0.73059,                 1.2591,                0.59114,                0.31516,                0.37295,                0.26677,                 1.2476,                 1.1384,                 1.6821,               0.004951,               0.004951,               0.004951
                     54,                0.79344,                0.72569,                 1.2514,                0.61339,                0.31858,                0.36306,                0.26274,                 1.2322,                 1.1305,                 1.6699,               0.004852,               0.004852,               0.004852
                     55,                0.79766,                0.71496,                 1.2477,                0.68743,                0.30385,                0.37382,                0.27027,                 1.2413,                 1.1273,                 1.6741,               0.004753,               0.004753,               0.004753
                     56,                0.78447,                0.71262,                 1.2451,                0.62668,                 0.3161,                0.38465,                0.28081,                 1.2376,                 1.1023,                 1.6732,               0.004654,               0.004654,               0.004654
                     57,                0.78175,                0.69439,                 1.2432,                0.47854,                0.37834,                0.38268,                0.27703,                 1.2448,                 1.1074,                 1.6794,               0.004555,               0.004555,               0.004555
                     58,                0.77976,                0.68513,                 1.2401,                0.35981,                 0.3641,                0.38307,                0.27629,                 1.2448,                 1.1066,                 1.6802,               0.004456,               0.004456,               0.004456
                     59,                0.77136,                 0.6872,                 1.2364,                0.48425,                0.36457,                0.38679,                0.28044,                 1.2414,                 1.1191,                 1.6772,               0.004357,               0.004357,               0.004357
                     60,                0.76525,                0.67283,                 1.2341,                0.48548,                0.37027,                0.40693,                0.29712,                 1.2449,                 1.1105,                 1.6794,               0.004258,               0.004258,               0.004258
                     61,                0.76978,                0.66717,                 1.2309,                0.57072,                0.36498,                0.40006,                 0.2905,                 1.2412,                  1.117,                 1.6777,               0.004159,               0.004159,               0.004159
                     62,                0.76122,                0.66218,                 1.2248,                  0.461,                0.39452,                0.39898,                0.28839,                 1.2473,                 1.1081,                 1.6871,                0.00406,                0.00406,                0.00406
                     63,                0.75553,                0.66007,                 1.2213,                  0.472,                0.40224,                0.41896,                 0.3005,                 1.2419,                 1.1046,                 1.6757,               0.003961,               0.003961,               0.003961
                     64,                 0.7515,                0.65178,                 1.2193,                0.55422,                0.38303,                0.42745,                0.30594,                 1.2354,                 1.1055,                 1.6763,               0.003862,               0.003862,               0.003862
                     65,                0.75069,                0.64039,                  1.215,                0.46052,                0.40735,                0.41991,                0.29991,                 1.2367,                 1.1085,                 1.6816,               0.003763,               0.003763,               0.003763
                     66,                0.74707,                0.63425,                  1.214,                0.40098,                0.42383,                0.42033,                0.30192,                 1.2384,                 1.1146,                 1.6806,               0.003664,               0.003664,               0.003664
                     67,                0.74045,                0.62942,                 1.2113,                0.44705,                0.41243,                0.41876,                0.29989,                 1.2418,                 1.1236,                 1.6824,               0.003565,               0.003565,               0.003565
                     68,                 0.7409,                0.62151,                 1.2109,                 0.4437,                0.41322,                 0.4188,                0.30085,                 1.2464,                 1.1119,                 1.6851,               0.003466,               0.003466,               0.003466
                     69,                0.73174,                0.62171,                 1.2035,                0.41543,                0.42448,                0.41877,                0.30069,                 1.2407,                 1.0928,                 1.6764,               0.003367,               0.003367,               0.003367
                     70,                 0.7219,                0.61263,                 1.1975,                0.46946,                0.39722,                0.42697,                0.30348,                   1.24,                 1.0965,                 1.6771,               0.003268,               0.003268,               0.003268
                     71,                0.72723,                0.61322,                 1.2024,                0.41778,                0.41497,                0.42135,                0.30053,                 1.2391,                 1.0982,                 1.6823,               0.003169,               0.003169,               0.003169
                     72,                0.71988,                0.60213,                 1.1953,                 0.4187,                0.41859,                0.42541,                0.30062,                 1.2373,                 1.1039,                 1.6831,                0.00307,                0.00307,                0.00307
                     73,                0.72005,                0.59948,                 1.1924,                0.42598,                0.40697,                 0.4268,                0.30788,                 1.2379,                 1.1122,                 1.6845,               0.002971,               0.002971,               0.002971
                     74,                0.70524,                0.59227,                 1.1901,                0.41519,                0.40943,                0.42701,                 0.3046,                 1.2382,                 1.1192,                 1.6851,               0.002872,               0.002872,               0.002872
                     75,                0.70812,                0.57893,                 1.1886,                 0.3926,                0.41532,                0.42697,                0.30515,                 1.2404,                 1.1176,                   1.69,               0.002773,               0.002773,               0.002773
                     76,                0.70506,                0.57797,                 1.1796,                0.37278,                0.41745,                0.42903,                0.30674,                 1.2431,                 1.1232,                 1.6941,               0.002674,               0.002674,               0.002674
                     77,                0.69498,                0.57025,                 1.1801,                0.40137,                0.40981,                0.42713,                0.30589,                  1.245,                 1.1303,                 1.6965,               0.002575,               0.002575,               0.002575
                     78,                0.68906,                0.55951,                 1.1741,                0.36489,                0.41718,                0.42934,                0.30644,                 1.2463,                 1.1299,                 1.6989,               0.002476,               0.002476,               0.002476
                     79,                0.69098,                0.55847,                 1.1746,                0.35023,                0.41776,                0.42474,                0.30282,                 1.2465,                 1.1308,                 1.6998,               0.002377,               0.002377,               0.002377
                     80,                0.68633,                 0.5573,                 1.1722,                0.34445,                0.41789,                0.40851,                0.29591,                  1.246,                 1.1297,                  1.702,               0.002278,               0.002278,               0.002278
                     81,                0.68533,                0.55198,                 1.1686,                0.31661,                0.42427,                0.41068,                0.29887,                 1.2455,                 1.1334,                  1.703,               0.002179,               0.002179,               0.002179
                     82,                0.67831,                0.54571,                 1.1602,                0.31623,                0.45924,                0.41528,                0.30246,                 1.2461,                 1.1375,                 1.7054,                0.00208,                0.00208,                0.00208
                     83,                0.67221,                0.54533,                 1.1611,                0.32495,                0.46073,                0.41508,                 0.3022,                 1.2487,                 1.1409,                 1.7104,               0.001981,               0.001981,               0.001981
                     84,                0.66929,                0.53762,                 1.1589,                0.34043,                0.45936,                0.42955,                0.31202,                 1.2506,                 1.1441,                 1.7156,               0.001882,               0.001882,               0.001882
                     85,                0.66592,                0.53074,                 1.1559,                0.38231,                 0.4544,                0.43006,                0.31275,                 1.2484,                 1.1414,                 1.7154,               0.001783,               0.001783,               0.001783
                     86,                0.66019,                0.52467,                 1.1542,                0.37424,                0.45656,                0.43048,                0.31281,                 1.2476,                 1.1417,                  1.714,               0.001684,               0.001684,               0.001684
                     87,                0.66066,                0.52248,                 1.1501,                0.37315,                0.45622,                0.43021,                 0.3123,                 1.2486,                 1.1417,                 1.7157,               0.001585,               0.001585,               0.001585
                     88,                0.65382,                0.51803,                 1.1485,                0.36977,                 0.4526,                0.43009,                 0.3122,                 1.2496,                 1.1436,                 1.7179,               0.001486,               0.001486,               0.001486
                     89,                0.64157,                0.51114,                 1.1422,                0.36806,                0.44986,                0.43064,                0.31273,                 1.2516,                 1.1436,                 1.7221,               0.001387,               0.001387,               0.001387
                     90,                0.64173,                0.50307,                 1.1385,                0.32874,                0.44983,                0.42434,                0.30793,                 1.2526,                 1.1459,                 1.7253,               0.001288,               0.001288,               0.001288
                     91,                0.59462,                0.35519,                   1.14,                0.32917,                0.45027,                0.42188,                0.30613,                 1.2537,                 1.1441,                 1.7278,               0.001189,               0.001189,               0.001189
                     92,                0.57316,                0.33245,                 1.1259,                0.33088,                0.45142,                0.42307,                0.30672,                 1.2561,                 1.1445,                 1.7324,                0.00109,                0.00109,                0.00109
                     93,                0.56598,                0.33021,                 1.1195,                0.32051,                0.45032,                 0.4216,                0.30585,                 1.2568,                 1.1467,                 1.7344,               0.000991,               0.000991,               0.000991
                     94,                0.55725,                0.31645,                 1.1131,                0.32253,                0.44755,                0.42285,                0.30759,                  1.256,                 1.1477,                 1.7353,               0.000892,               0.000892,               0.000892
                     95,                0.54865,                0.31543,                 1.1092,                 0.3201,                0.44617,                0.42261,                0.30771,                  1.256,                 1.1487,                 1.7375,               0.000793,               0.000793,               0.000793
                     96,                0.53858,                0.30463,                 1.0978,                0.32304,                0.44462,                0.42441,                0.30885,                 1.2558,                 1.1495,                 1.7387,               0.000694,               0.000694,               0.000694
                     97,                0.53744,                0.30127,                 1.1002,                0.32924,                0.44291,                0.42433,                0.30871,                 1.2549,                 1.1502,                 1.7387,               0.000595,               0.000595,               0.000595
                     98,                0.52746,                0.29168,                 1.0873,                0.33477,                0.44163,                0.42478,                0.30913,                 1.2551,                 1.1519,                 1.7411,               0.000496,               0.000496,               0.000496
                     99,                0.52477,                0.29308,                 1.0877,                0.38016,                0.44052,                0.42493,                0.30849,                 1.2566,                 1.1541,                 1.7444,               0.000397,               0.000397,               0.000397
                    100,                0.51776,                0.28401,                 1.0847,                0.38217,                0.43405,                0.42484,                 0.3091,                 1.2549,                 1.1558,                 1.7433,               0.000298,               0.000298,               0.000298
